CI Config Admin Group,Compliance result ID,Vulnerability ID,Total Vulnerability ID,Date
Config0001,142.0,20.0,12.0,2023-05-06
Config0001,142.0,20.0,12.0,2023-05-06
Config0001,142.0,20.0,12.0,2023-05-06
Config0001,142.0,20.0,12.0,2023-05-06
Config0001,142.0,20.0,12.0,2023-05-07
Config0001,142.0,20.0,12.0,2023-05-07
Config0001,142.0,20.0,12.0,2023-05-09
Config0001,142.0,20.0,12.0,2023-05-09
Config0001,142.0,20.0,12.0,2023-05-09
Config0001,142.0,20.0,12.0,2023-05-09
Config0001,142.0,20.0,12.0,2023-05-11
