CI Config Admin Group,Compliance result ID,Vulnerability ID,Total Vulnerability ID,Date
Config0002,0.0,64.0,9.0,2023-05-06
Config0002,0.0,64.0,9.0,2023-05-06
Config0002,0.0,64.0,9.0,2023-05-06
Config0002,0.0,64.0,9.0,2023-05-06
Config0002,0.0,64.0,9.0,2023-05-07
Config0002,0.0,64.0,9.0,2023-05-07
Config0002,0.0,64.0,9.0,2023-05-09
Config0002,0.0,64.0,9.0,2023-05-09
Config0002,0.0,64.0,9.0,2023-05-09
Config0002,0.0,64.0,9.0,2023-05-09
Config0002,0.0,64.0,9.0,2023-05-11
Config0002,0.0,64.0,9.0,2023-05-12
Config0002,0.0,64.0,9.0,2023-05-12
Config0002,0.0,64.0,9.0,2023-05-12
Config0002,0.0,64.0,9.0,2023-05-12
Config0002,0.0,64.0,9.0,2023-05-12
Config0002,0.0,64.0,9.0,2023-05-12
Config0002,0.0,64.0,9.0,2023-05-12
Config0002,0.0,64.0,9.0,2023-05-12
Config0002,0.0,64.0,9.0,2023-05-12
Config0002,0.0,64.0,9.0,2023-05-12
Config0002,0.0,64.0,9.0,2023-05-12
Config0002,0.0,64.0,9.0,2023-05-12
Config0002,0.0,64.0,9.0,2023-05-12
Config0002,0.0,64.0,9.0,2023-05-12
Config0002,0.0,64.0,9.0,2023-05-12
Config0002,0.0,64.0,9.0,2023-05-12
Config0002,0.0,64.0,9.0,2023-05-12
Config0002,0.0,64.0,9.0,2023-05-12
Config0002,0.0,64.0,9.0,2023-05-12
Config000,0.0,64.0,9.0,2023-05-12
