CI Config Admin Group,Compliance result ID,Vulnerability ID,Date,Environment,Advisory overdue,TotalCompliance result ID,Total Compliance result ID,Total Vulnerability ID
Config0008,324.0,0.0,2023-05-02,,,,,
Config0008,324.0,0.0,2023-05-02,,,,,
Config0008,324.0,0.0,2023-05-02,,,,,
Config0008,324.0,0.0,2023-05-03,,,,,
Config0008,324.0,0.0,2023-05-05,,,,,
Config0008,324.0,0.0,2023-05-05,,,,,
Config0008,324.0,0.0,2023-05-05,,,,,
Config0008,324.0,0.0,2023-05-05,,,,,
Config0006,6.0,9.0,2023-05-05,626.0,61.0,,,
Config0006,6.0,9.0,2023-05-05,,,,,
Config0006,6.0,9.0,2023-05-05,,,,,
Config0006,6.0,9.0,2023-05-05,,,,,
Config0006,6.0,9.0,2023-05-05,,,,,
Config0006,6.0,9.0,2023-05-05,,,,,
Config0006,6.0,9.0,2023-05-05,,,,,
Config0006,6.0,9.0,2023-05-05,,,,,
Config0006,6.0,9.0,2023-05-05,,,,,
Config0006,6.0,9.0,2023-05-05,,,,,
Config0006,6.0,9.0,2023-05-05,,,,,
Config0006,6.0,9.0,2023-05-05,,,,,
Config0006,6.0,9.0,2023-05-05,,,,,
Config0006,6.0,9.0,2023-05-05,,,,,
Config0006,6.0,0.0,2023-05-05,,,,,
Config0006,6.0,0.0,2023-05-05,,,6.0,,
Config0006,6.0,0.0,2023-05-05,,,,6.0,
Config0008,324.0,111.0,2023-05-05,,,,,0.0
