CI Config Admin Group,Compliance result ID,Vulnerability ID,Date,Environment,Advisory overdue,TotalCompliance result ID,Total Compliance result ID,Total Vulnerability ID
Config0005,0.0,13.0,2023-05-02,,,,,
Config0005,0.0,13.0,2023-05-02,,,,,
Config0005,0.0,13.0,2023-05-02,,,,,
Config0005,0.0,13.0,2023-05-03,,,,,
Config0005,0.0,13.0,2023-05-05,,,,,
Config0005,0.0,13.0,2023-05-05,,,,,
Config0005,0.0,13.0,2023-05-05,,,,,
Config0005,0.0,13.0,2023-05-05,,,,,
Config0011,8.0,0.0,2023-05-05,626.0,0.0,,,
Config0011,8.0,0.0,2023-05-05,,,,,
Config0011,8.0,0.0,2023-05-05,,,,,
Config0011,8.0,0.0,2023-05-05,,,,,
Config0011,8.0,0.0,2023-05-05,,,,,
Config0011,8.0,0.0,2023-05-05,,,,,
Config0011,8.0,0.0,2023-05-05,,,,,
Config0011,8.0,0.0,2023-05-05,,,,,
Config0011,8.0,0.0,2023-05-05,,,,,
Config0011,8.0,0.0,2023-05-05,,,,,
Config0011,8.0,0.0,2023-05-05,,,,,
Config0011,8.0,0.0,2023-05-05,,,,,
Config0011,8.0,0.0,2023-05-05,,,,,
Config0011,8.0,0.0,2023-05-05,,,,,
Config0011,8.0,0.0,2023-05-05,,,,,
Config0011,8.0,0.0,2023-05-05,,,4.0,,
Config0011,8.0,0.0,2023-05-05,,,,4.0,
Config0005,0.0,45.0,2023-05-05,,,,,13.0
