CI Config Admin Group,Compliance result ID,Vulnerability ID,Date,Environment,Advisory overdue,TotalCompliance result ID,Total Compliance result ID,Total Vulnerability ID
Config0009,84.0,1.0,2023-05-02,,,,,
Config0009,84.0,1.0,2023-05-02,,,,,
Config0009,84.0,1.0,2023-05-02,,,,,
Config0009,84.0,1.0,2023-05-03,,,,,
Config0009,84.0,1.0,2023-05-05,,,,,
Config0009,84.0,1.0,2023-05-05,,,,,
Config0009,84.0,1.0,2023-05-05,,,,,
Config0009,84.0,1.0,2023-05-05,,,,,
Config0007,5.0,0.0,2023-05-05,626.0,0.0,,,
Config0007,5.0,0.0,2023-05-05,,,,,
Config0007,5.0,0.0,2023-05-05,,,,,
Config0007,5.0,0.0,2023-05-05,,,,,
Config0007,5.0,0.0,2023-05-05,,,,,
Config0007,5.0,0.0,2023-05-05,,,,,
Config0007,5.0,0.0,2023-05-05,,,,,
Config0007,5.0,0.0,2023-05-05,,,,,
Config0007,5.0,0.0,2023-05-05,,,,,
Config0007,5.0,0.0,2023-05-05,,,,,
Config0007,5.0,0.0,2023-05-05,,,,,
Config0007,5.0,0.0,2023-05-05,,,,,
Config0007,5.0,0.0,2023-05-05,,,,,
Config0007,5.0,0.0,2023-05-05,,,,,
Config0007,5.0,0.0,2023-05-05,,,,,
Config0007,5.0,0.0,2023-05-05,,,4.0,,
Config0007,5.0,0.0,2023-05-05,,,,4.0,
Config0009,84.0,84.0,2023-05-05,,,,,1.0
